"ROUTE","DEST. SIGN CODE","DESTINATION                                                                                        SIGN CODE                                                                            MESSAGE","DIR","DIV","DEPOT",,"LOC.                                                                                              CODE","RES. GROUP LOC. CODE","ALIEN GROUP LOC. CODE","EFFECTIVE
PICK CODE"
,,"CROSSTOWN",,,,,,,,
"M50",1502,"EAST SIDE","E",,"QUILL/MTV",,"0034","0033","1500",
,,"2 AV",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M50",1503,"8 AV","W",,"QUILL/MTV",,"0033","0033","1500","A8"
"M57",1570,"EAST SIDE","E",,"126/QUILL",,"0066","0066","1500","A8"
,,"YORK-60 ST",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M57",1571,"WEST SIDE","W",,"126/QUILL",,"0065","0065","1500","A8"
,,"BROADWAY-72 ST",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M57",1573,"11 AV","W",,"126/QUILL",,"0065","0065","1500","A8"
"M57",1575,"8 AV","W",,"126/QUILL",,"0065","0065","1500",
"M60",1600,"LA GUARDIA","E",,"MTV",,"0068","0067","1500",
,,"AIRPORT",,,,,,,,
"M60",1601,"WEST SIDE","W",,"MTV",,"0067","0067","1500",
,,"BROADWAY-106 ST",,,,,,,,
,,"via 125 ST",,,,,,,,
"M60",1605,"125 ST","W",,"MTV",,"0067","0067","1500","B9"
,,"AMSTERDAM AV",,,,,,,,
"M66",1660,"EAST SIDE","E",,126,,"0070","0069","1500",
,,"YORK AV",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M66",1661,"LINCOLN CENTER","W",,126,,"0069","0069","1500",
,,"WEST END AV",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M66",1662,"5 AV","E",,126,,"0070","0069","1500",
"M66",1663,"COLUMBUS AV","W",,126,,"0069","0069","1500",
"M66",1665,"5 AV","W",,126,,"0069","0069","1500",
"M66",1667,"LEX AV","W",,126,,"0069","0069","1500",
"M72",1720,"EAST SIDE","E",,126,,"0072","0071","1500",
,,"YORK AV",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M72",1721,"WEST SIDE","W",,126,,"0071","0071","1500",
,,"FREEDOM PL",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M72",1722,"5 AV","E",,126,,"0072","0071","1500",
"M72",1723,"5 AV","W",,126,,"0071","0071","1500",
"M79",1790,"YORKVILLE","E",,"100 ST-QUILL",,"0074","0073","1500",
,,"EAST END AV",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M79",1791,"WEST SIDE","W",,"100 ST-QUILL",,"0073","0073","1500",
,,"RIVERSIDE DRIVE",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M79",1792,"5 AV","E",,"100 ST-QUILL",,"0074","0073","1500",
"M79",1793,"5 AV","W",,"100 ST-QUILL",,"0073","0073","1500",
"M86",1860,"YORKVILLE","E",,"100 ST-QUILL",,"0076","0075","1500",
,,"YORK-91 ST",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M86",1861,"WEST SIDE","W",,"100 ST-QUILL",,"0075","0075","1500",
,,"WEST END AV",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M86",1862,"MADISON AV","E",,"100 ST-QUILL",,"0076","0075","1500",
"M86",1863,"5 AV","W",,"100 ST-QUILL",,"0075","0075","1500",
"M86",1864,"YORKVILLE","E",,"100 ST-QUILL",,"0076","0075","1500",
,,"EAST END AV",,,,,,,,
"M96",1960,"EAST SIDE","E",,"MTV/QUILL",,"0078","0077","1500","C10"
,,"1 AV",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M96",1961,"WEST SIDE","W",,"MTV/QUILL",,"0077","0077","1500","C10"
,,"WEST END AV",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M96",1962,"MADISON AV","E",,"MTV/QUILL",,"0078","0077","1500","C10"
"M96",1963,"5 AV","W",,"MTV/QUILL",,"0077","0077","1500","C10"
"M98",1980,"LIMITED","N",,"MTV/HALE
/QUILL",,"0082","0081","1500","D10"
,,"GW BRIDGE",,,,,,,,
,,"via 3 AV",,,,,,,,
"M98",1982,"LIMITED","N",,"MTV/HALE
/QUILL",,"0082","0081","1500","D10"
,,"FT WASHINGTON",,,,,,,,
,,"193 ST",,,,,,,,
,,"via 3 AV",,,,,,,,
"M98",1983,"LIMITED","S",,"MTV/HALE
/QUILL",,"0081","0081","1500","D10"
,,"MIDTOWN",,,,,,,,
,,"LEX AV-68",,,,,,,,
"M100",2000,"INWOOD","N",,"KB",,"0084","0083","1500",
,,"207 ST",,,,,,,,
"M100",2002,"168 ST","N",,"KB",,"0084","0083","1500",
"M100",2003,"EAST HARLEM","S",,"KB",,"0083","0083","1500",
,,"2 AV-125 ST",,,,,,,,
,,"via BROADWAY",,,,,,,,
,,"via AMSTERDAM",,,,,,,,
"M100",2004,"INWOOD","N",,"KB",,"0084","0083","1500",
,,"220 ST",,,,,,,,
,,"via AMSTERDAM",,,,,,,,
,,"via BROADWAY                                                    ",,,,,,,,
"M100",2005,"129 ST","S",,"KB",,"0083","0083","1500",
"M100",2006,"129 ST","N",,"KB",,"0084","0083","1500","A8"
"M101",2010,"FT GEORGE","N",,"100 ST",,"0086","0086","1500","A8"
,,"193 ST",,,,,,,,
,,"via 3 AV",,,,,,,,
"M101",2012,"LIMITED","N",,"100 ST",,"0088","0088","1500","A8"
,,"FT GEORGE",,,,,,,,
,,"193 ST",,,,,,,,
,,"via 3 AV",,,,,,,,
"M101",2013,"LEX AV-125","S",,"100 ST",,"0085","0085","1500","A8"
"M101",2014,"96 ST","N",,"100 ST",,"0086","0086","1500","A8"
"M101",2015,"EAST VILLAGE","S",,"100 ST",,"0085","0085","1500","A8"
,,"6 ST",,,,,,,,
,,"via LEX AV",,,,,,,,
"M101",2016,"LIMITED","N",,"100 ST",,"0088","0088","1500","A8"
,,"129 ST",,,,,,,,
,,"AMSTERDAM AV",,,,,,,,
"M101",2017,"LIMITED","S",,"100 ST",,"0087","0087","1500","A8"
,,"EAST VILLAGE",,,,,,,,
,,"6 ST",,,,,,,,
,,"via LEX AV",,,,,,,,
"M101",2018,"LIMITED","N",,"100 ST",,"0088","0088","1500","A8"
,,"125 ST",,,,,,,,
,,"AMSTERDAM AV",,,,,,,,
"M101",2019,"24 ST","S",,"100 ST",,"0085","0085","1500","A8"
"M101",8012,"LIMITED","N",,"100 ST",,"0088","0088","1500","A8"
,,"96 ST",,,,,,,,
"M101",8013,"96 ST","S",,"100 ST",,"0085","0085","1500","A8"
"M101",8014,"AMSTERDAM AV","N",,"100 ST",,"0086","0086","1500","A8"
,,"125 ST",,,,,,,,
"M101",8015,"42 ST","S",,"100 ST",,"0085","0085","1500","A8"
"M101",8016,"161 ST","N",,"100 ST",,"0086","0086","1500","A8"
"M101",8017,"125 ST","S",,"100 ST",,"0085","0085","1500","A8"
,,"AMSTERDAM AV",,,,,,,,
"M101",8019,"LIMITED","S",,"100 ST",,"0087","0087","1500","A8"
,,"24 ST",,,,,,,,
"M101",8029,"LIMITED","S",,"100 ST",,"0087","0087","1500",
,,"96 ST",,,,,,,,
"M102",2020,"HARLEM","N",,"100 ST",,"0090","0090","1500",
,,"147 ST",,,,,,,,
,,"via 3 AV",,,,,,,,
