DEPOT,AUTH_ID,PASS_NUMBER,ROUTE,RUN_NUMBER,SERV_ID,DATE,TIMESTAMP
FLTT,OA,038213,B41,086,2,2011-11-11,2011-11-10 19:07:01
FLTT,OA,038198,B46,197,0,2011-11-11,2011-11-10 19:06:58
FLTT,OA,038218,B46,189,2,2011-11-11,2011-11-10 19:07:00
JGLT,OA,038199,B35,054,0,2011-11-11,2011-11-10 20:22:35
FLTT,OA,038205,B41,081,0,2011-11-11,2011-11-10 19:06:58
JGLT,TA,366052,B35,061,0,2011-11-11,2011-11-10 12:58:22
SPCT,RB,B06433,SPCT,038,,2011-11-11,2011-11-03 10:34:43
SPCT,RB,B06415,SPCT,009b,2,2011-11-11,2011-11-11 06:19:45
SPCT,RB,B06415,SPCT,009a,2,2011-11-11,2011-11-11 06:19:44
SPCT,RB,B06415,BM3,308,0,2011-11-11,2011-11-11 06:19:55
SPCT,RB,B06415,SPCT,009,2,2011-11-11,2011-11-10 20:03:03
SPCT,RB,B06415,SPCT,016,,2011-11-11,2011-11-03 10:34:41
SPCT,RB,B06431,B103,327,0,2011-11-11,2011-11-10 20:03:17
FLTT,OA,038154,B41,068,0,2011-11-11,2011-11-10 19:06:55
JGLT,OA,038182,B43,123,2,2011-11-11,2011-11-10 12:58:25
FLTT,OA,038187,B46,187,0,2011-11-11,2011-11-10 19:06:55
FLTT,OA,038155,B41,062,0,2011-11-11,2011-11-10 19:06:52
JGLT,OA,038190,B63,130,0,2011-11-11,2011-11-10 13:00:01
FLTT,OA,038156,B46,214,0,2011-11-11,2011-11-10 19:07:02
FLTT,OA,038192,FLTT,XL48,,2011-11-11,2011-11-10 11:54:32
FLTT,OA,038192,B2,010,0,2011-11-11,2011-11-10 19:07:01
FLTT,OA,038162,B46,191,0,2011-11-11,2011-11-10 19:06:56
GAVT,OA,037465,B13,017,0,2011-11-11,2011-11-10 13:43:35
CPTT,RB,B05703,Q25/34,058,0,2011-11-11,2011-11-10 21:28:27
CPTT,RB,B05703,CPTT,035,,2011-11-11,2011-11-04 12:30:03
FLTT,TA,693038,FLTT,XL47,,2011-11-11,2011-11-10 11:54:32
FLTT,TA,693038,B2,011,0,2011-11-11,2011-11-10 19:07:02
WFRT,TA,766023,WFRT,057,,2011-11-11,2011-11-10 13:05:43
FRKDM,RB,B02338,FRKDM,Y02,,2011-11-11,2011-11-11 08:33:00
FRKD,RB,B02338,FRKDM,Y02,,2011-11-11,2011-11-11 08:33:00
FRKDM,RB,B02363,FRKDM,C02,,2011-11-11,2011-11-11 08:33:00
FRKD,RB,B02363,FRKDM,C02,,2011-11-11,2011-11-11 08:33:00
LGAT,RB,B07009,Q23,307,0,2011-11-11,2011-11-10 23:58:24
LGAT,RB,B07009,LGAT,STUDT,,2011-11-11,2011-11-10 03:12:27
ECHT,RB,B07003,ECHT,2,0,2011-11-11,2011-11-11 07:41:52
LGAT,RB,B06993,Q23,350,0,2011-11-11,2011-11-10 23:59:02
LGAT,RB,B06993,LGAT,STUDT,,2011-11-11,2011-11-10 03:13:19
ECHT,RB,B07027,ECHT,3,0,2011-11-11,2011-11-11 07:41:51
ECHT,RB,B07026,ECHT,3,0,2011-11-11,2011-11-11 07:41:52
BAPT,TA,B06651,Q110,011,0,2011-11-11,2011-11-11 00:53:42
BAPT,TA,B06651,BAPT,STUDT,,2011-11-11,2011-11-09 17:53:21
LGAT,RB,B07004,LGAT,STUDT,,2011-11-11,2011-11-10 09:41:19
LGAT,RB,B07004,Q23,352,0,2011-11-11,2011-11-10 03:13:34
LGAT,RB,B07004,LGAT,STUDT,,2011-11-11,2011-11-10 03:13:34
ECHT,RB,B06985,ECHT,2,0,2011-11-11,2011-11-11 07:41:51
LGAT,RB,B07002,Q23,341,0,2011-11-11,2011-11-10 23:58:51
LGAT,RB,B07002,LGAT,STUDT,,2011-11-11,2011-11-10 03:12:47
LGAT,RB,B07006,Q23,348,0,2011-11-11,2011-11-10 23:58:59
LGAT,RB,B07006,LGAT,STUDT,,2011-11-11,2011-11-10 03:13:06
JGLT,TA,194008,B70,215,0,2011-11-11,2011-11-10 12:59:56
QUVT,TA,201072,MISC,465,0,2011-11-11,2011-11-10 20:07:02
ENYT,TA,215020,ENYT,XL55,,2011-11-11,2011-11-10 11:06:30
ENYT,TA,215020,B65,111,0,2011-11-11,2011-11-10 19:04:00
JAMT,TA,217077,MISC,371,0,2011-11-11,2011-11-10 19:02:26
QUVT,TA,002037,MISC,493,2,2011-11-11,2011-11-10 20:07:09
